Materia,Total_Cupos,Total_Secciones,Residuos_Cupos,semestre_numerico,semestre_original
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,173,4,18,4030,2015A
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,97,6,3,4030,2015A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,118,4,16,4030,2015A
TEORIA DE LA COMPUTACION,430,12,38,4030,2015A
ADMINISTRACION DE REDES,284,10,12,4031,2015B
ADMINISTRACION DE SERVIDORES,129,5,4,4031,2015B
ALGORITMIA,175,6,5,4031,2015B
BASES DE DATOS,226,7,8,4031,2015B
CONTROL DE PROYECTOS,82,3,0,4031,2015B
ESTADISTICA Y PROCESOS ESTOCASTICOS,758,18,45,4031,2015B
ESTRUCTURAS DE DATOS I,394,13,30,4031,2015B
ESTRUCTURAS DE DATOS II,296,9,7,4031,2015B
HIPERMEDIA,98,4,3,4031,2015B
INGENIERIA DE SOFTWARE I,175,7,6,4031,2015B
INGENIERIA DE SOFTWARE II,51,3,1,4031,2015B
MATEMATICA DISCRETA,427,11,38,4031,2015B
METODOS MATEMATICOS I,972,24,96,4031,2015B
METODOS MATEMATICOS II,771,21,113,4031,2015B
PROGRAMACION,933,25,52,4031,2015B
PROGRAMACION PARA INTERNET,89,3,3,4031,2015B
SEGURIDAD DE LA INFORMACION,87,3,2,4031,2015B
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,186,10,2,4031,2015B
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,881,47,55,4031,2015B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,237,13,10,4031,2015B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,346,19,26,4031,2015B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,268,12,10,4031,2015B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,495,16,34,4031,2015B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,396,17,14,4031,2015B
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,162,9,2,4031,2015B
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",14,1,0,4031,2015B
TEORIA DE LA COMPUTACION,372,12,24,4031,2015B
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",17,1,0,4031,2015B
ADMINISTRACION DE BASES DE DATOS,34,1,0,4032,2016A
ADMINISTRACION DE REDES,270,9,19,4032,2016A
ADMINISTRACION DE SERVIDORES,125,5,5,4032,2016A
ALGORITMIA,257,10,11,4032,2016A
ALMACENES DE DATOS (DATA WAREHOUSE),30,1,1,4032,2016A
BASES DE DATOS,252,7,10,4032,2016A
CONTROL DE PROYECTOS,76,3,2,4032,2016A
ESTADISTICA Y PROCESOS ESTOCASTICOS,763,20,42,4032,2016A
ESTRUCTURAS DE DATOS I,492,14,40,4032,2016A
ESTRUCTURAS DE DATOS II,263,9,5,4032,2016A
HIPERMEDIA,124,4,2,4032,2016A
INGENIERIA DE SOFTWARE I,206,7,5,4032,2016A
INGENIERIA DE SOFTWARE II,74,2,2,4032,2016A
MATEMATICA DISCRETA,452,11,71,4032,2016A
METODOS MATEMATICOS I,1003,25,193,4032,2016A
METODOS MATEMATICOS II,940,23,158,4032,2016A
MINERIA DE DATOS,31,1,0,4032,2016A
PROGRAMACION,964,29,103,4032,2016A
PROGRAMACION PARA INTERNET,124,3,1,4032,2016A
SEGURIDAD DE LA INFORMACION,82,3,0,4032,2016A
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,196,10,8,4032,2016A
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,884,44,96,4032,2016A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,247,13,14,4032,2016A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,447,17,33,4032,2016A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,208,12,5,4032,2016A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,691,15,43,4032,2016A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,409,16,7,4032,2016A
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,160,9,0,4032,2016A
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",62,4,2,4032,2016A
TEORIA DE LA COMPUTACION,473,12,35,4032,2016A
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",88,3,0,4032,2016A
ADMINISTRACION DE BASES DE DATOS,160,4,53,4033,2016B
ADMINISTRACION DE REDES,223,11,22,4033,2016B
ADMINISTRACION DE SERVIDORES,129,5,12,4033,2016B
ALGORITMIA,403,10,91,4033,2016B
ALMACENES DE DATOS (DATA WAREHOUSE),121,3,53,4033,2016B
BASES DE DATOS,283,7,65,4033,2016B
CLASIFICACION INTELIGENTE DE DATOS,40,1,25,4033,2016B
CONTROL DE PROYECTOS,120,3,42,4033,2016B
ESTADISTICA Y PROCESOS ESTOCASTICOS,804,21,110,4033,2016B
ESTRUCTURAS DE DATOS I,563,14,147,4033,2016B
ESTRUCTURAS DE DATOS II,387,9,48,4033,2016B
HIPERMEDIA,201,5,74,4033,2016B
INGENIERIA DE SOFTWARE I,202,7,18,4033,2016B
INGENIERIA DE SOFTWARE II,80,2,20,4033,2016B
MATEMATICA DISCRETA,448,12,58,4033,2016B
